Code,Name,Scientific_Name
BOF,Dogfish,Amia calva
FRD,Freshwater Drum,Aplodinotus grunniens
TLC,Cisco,Coregonus artedi
BUB,Burbot,Lota lota
LKS,Lake Sturgeon,Acipenser fulvescens
ALW,Alewife,Alosa pseudoharengus
SKJ,Skipjack Herring,Alosa chrysochloris
RKB,Rock Bass,Ambloplites rupestris
BLH,Bullheads,Ameiurus sp.
BLB,Black Bullhead,Ameiurus melas
YEB,Yellow Bullhead,Ameiurus natalis
BRB,Brown Bullhead,Ameiurus nebulosus
WSD,Western Sand Darter,Ammocrypta clara
AME,American Eel,Anguilla rostrata
FST,Fourspine Stickleback,Apeltes quadracus
PRP,Pirate Perch,Aphredoderus sayanus
ALG,Alligator Gar,Atractosteus spatula
CSR,Central Stoneroller,Campostoma anomalum
LSR,Largescale Stoneroller,Campostoma oligolepis
GOF,Goldfish,Carassius auratus
RCS,River Carpsucker,Carpiodes carpio
QBS,Quillback,Carpiodes cyprinus
HFS,Highfin Carpsucker,Carpiodes velifer
LNS,Longnose Sucker,Catostomus catostomus
WTS,White Sucker,Catostomus commersonii
NRD,Northern Redbelly Dace,Chrosomus eos
SRD,Southern Redbelly Dace,Chrosomus erythrogaster
FND,Finescale Dace,Chrosomus neogaeus
RSD,Redside Dace,Clinostomus elongatus
NPC,Nipigon Cisco,Coregonus sp.
LKW,Lake Whitefish,Coregonus clupeaformis
BLT,Bloater,Coregonus hoyi
KIC,Kiyi,Coregonus kiyi
BFC,Blackfin Cisco,Coregonus nigripinnis
SNC,Shortnose Cisco,Coregonus reighardi
SJC,Shortjaw Cisco,Coregonus zenithicus
MTS,Mottled Sculpin,Cottus bairdii
BDS,Banded Sculpin,Cottus carolinae
SMS,Slimy Sculpin,Cottus cognatus
SHS,Spoonhead Sculpin,Cottus ricei
LKC,Lake Chub,Couesius plumbeus
CRD,Crystal Darter,Crystallaria asprella
GAP,Grass Carp,Ctenopharyngodon idella
BST,Brook Stickleback,Culaea inconstans
BLS,Blue Sucker,Cycleptus elongatus
RDS,Red Shiner,Cyprinella lutrensis
SFS,Spotfin Shiner,Cyprinella spiloptera
CAP,Common Carp,Cyprinus carpio
LCP,Leather Carp,Cyprinus carpio
MCP,Mirror Carp,Cyprinus carpio
GIS,Gizzard Shad,Dorosoma cepedianum
BSS,Bluespotted Sunfish,Enneacanthus gloriosus
BSF,Banded Sunfish,Enneacanthus obesus
GRC,Gravel Chub,Erimystax x-punctatus
TME,Tiger Muskellunge,Esox masquinongy W lucius
NOP,Northern Pike,Esox lucius
MUE,Muskellunge,Esox masquinongy
MDD,Mud Darter,Etheostoma asprigene
RBD,Rainbow Darter,Etheostoma caeruleum
BLD,Bluntnose Darter,Etheostoma chlorosomum
IOD,Iowa Darter,Etheostoma exile
FTD,Fantail Darter,Etheostoma flabellare
LED,Least Darter,Etheostoma microperca
JND,Johnny Darter,Etheostoma nigrum
BDD,Banded Darter,Etheostoma zonale
BKF,Banded Killifish,Fundulus diaphanus
STM,Starhead Topminnow,Fundulus dispar
PTM,Plains Topminnow,Fundulus sciadicus
TST,Threespine Stickleback,Gasterosteus aculeatus
RIR,River Ruffe,Gymnocephalus cernua
GOE,Goldeye,Hiodon alosoides
MOE,Mooneye,Hiodon tergisus
BRM,Brassy Minnow,Hybognathus hankinsoni
SLM,Mississippi Silvery Minnow,Hybognathus nuchalis
PLS,Pallid Shiner,Hybopsis amnis
NHS,Northern Hog Sucker,Hypentelium nigricans
BHC,Bighead Carp,Hypophthalmichthys nobilis
CHL,Chestnut Lamprey,Ichthyomyzon castaneus
NBL,Northern Brook Lamprey,Ichthyomyzon fossor
SBL,Southern Brook Lamprey,Ichthyomyzon gagei
SIL,Silver Lamprey,Ichthyomyzon unicuspis
BCF,Blue Catfish,Ictalurus furcatus
CCF,Channel Catfish,Ictalurus punctatus
SAB,Smallmouth Buffalo,Ictiobus bubalus
BIB,Bigmouth Buffalo,Ictiobus cyprinellus
BKB,Black Buffalo,Ictiobus niger
BKS,Brook Silverside,Labidesthes sicculus
SPG,Spotted Gar,Lepisosteus oculatus
LNG,Longnose Gar,Lepisosteus osseus
SNG,Shortnose Gar,Lepisosteus platostomus
FLG,Florida Gar,Lepisosteus platyrhincus
HSF,Hybrid Sunfish,Lepomis hybrid
GSF,Green Sunfish,Lepomis cyanellus
PMK,Pumpkinseed,Lepomis gibbosus
WAM,Warmouth,Lepomis gulosus
OSS,Orangespotted Sunfish,Lepomis humilis
BLG,Bluegill,Lepomis macrochirus
DSF,Dollar Sunfish,Lepomis marginatus
LES,Longear Sunfish,Lepomis megalotis
ABL,American Brook Lamprey,Lethenteron appendix
CSH,Common Shiner,Luxilus cornutus
RES,Redfin Shiner,Lythrurus umbratilis
SPC,Speckled Chub,Macrhybopsis aestivalis
SLC,Silver Chub,Macrhybopsis storeriana
PRD,Pearl Dace,Margariscus margarita
SMB,Smallmouth Bass,Micropterus dolomieu
LMB,Largemouth Bass,Micropterus salmoides
SPS,Spotted Sucker,Minytrema melanops
WHP,White Perch,Morone americana
WHB,White Bass,Morone chrysops
YLB,Yellow Bass,Morone mississippiensis
STB,Striped Bass,Morone saxatilis
RHS,Redhorse,Moxostoma sp.
SLR,Silver Redhorse,Moxostoma anisurum
RRH,River Redhorse,Moxostoma carinatum
BRH,Black Redhorse,Moxostoma duquesnii
GLR,Golden Redhorse,Moxostoma erythrurum
SHR,Shorthead Redhorse,Moxostoma macrolepidotum
GRR,Greater Redhorse,Moxostoma valenciennesi
DWS,Deepwater Sculpin,Myoxocephalus thompsonii
DAR,Darters,NA
OTM,Minnows,NA
SHI,Shiners,NA
OTS,Suckers,NA
SUN,Sunfish,NA
RGB,Round Goby,Neogobius melanostomus
HHC,Hornyhead Chub,Nocomis biguttatus
GOS,Golden Shiner,Notemigonus crysoleucas
PGS,Pugnose Shiner,Notropis anogenus
EMS,Emerald Shiner,Notropis atherinoides
RVS,River Shiner,Notropis blennius
GHS,Ghost Shiner,Notropis buchanani
BMS,Bigmouth Shiner,Notropis dorsalis
BCS,Blackchin Shiner,Notropis heterodon
BNS,Blacknose Shiner,Notropis heterolepis
SPO,Spottail Shiner,Notropis hudsonius
OZM,Ozark Minnow,Notropis nubilus
CMS,Carmine Shiner,Notropis percobromus
RFS,Rosyface Shiner,Notropis rubellus
SDS,Sand Shiner,Notropis stramineus
WDS,Weed Shiner,Notropis texanus
TKS,Topeka Shiner,Notropis topeka
MMS,Mimic Shiner,Notropis volucellus
CNS,Channel Shiner,Notropis wickliffi
SDM,Slender Madtom,Noturus exilis
STC,Stonecat,Noturus flavus
TPM,Tadpole Madtom,Noturus gyrinus
SMT,Speckled Madtom,Noturus leptacanthus
PKS,Pink Salmon,Oncorhynchus gorbuscha
COS,Coho Salmon,Oncorhynchus kisutch
RBT,Rainbow Trout,Oncorhynchus mykiss
CHS,Chinook Salmon,Oncorhynchus tshawytscha
PGM,Pugnose Minnow,Opsopoeodus emiliae
TIL,Blue Tilapia,Oreochromis aureus
RBS,Rainbow Smelt,Osmerus mordax
YEP,Yellow Perch,Perca flavescens
LGP,Logperch,Percina caprodes
GLD,Gilt Darter,Percina evides
BSD,Blackside Darter,Percina maculata
SHD,Slenderhead Darter,Percina phoxocephala
RVD,River Darter,Percina shumardi
TRP,Trout-Perch,Percopsis omiscomaycus
SEL,Sea Lamprey,Petromyzon marinus
SKM,Suckermouth Minnow,Phenacobius mirabilis
BNM,Bluntnose Minnow,Pimephales notatus
FHM,Fathead Minnow,Pimephales promelas
BHM,Bullhead Minnow,Pimephales vigilax
FLC,Flathead Chub,Platygobio gracilis
PAH,Paddlefish,Polyodon spathula
WHC,White Crappie,Pomoxis annularis
BLC,Black Crappie,Pomoxis nigromaculatus
PGW,Pygmy Whitefish,Prosopium coulterii
RDW,Round Whitefish,Prosopium cylindraceum
TNG,Tubenose Goby,Proterorhinus marmoratus
NST,Ninespine Stickleback,Pungitius pungitius
FCF,Flathead Catfish,Pylodictis olivaris
BND,Blacknose Dace,Rhinichthys atratulus
LND,Longnose Dace,Rhinichthys cataractae
ATS,Atlantic Salmon,Salmo salar
BNT,Brown Trout,Salmo trutta
SPT,Splake,Salvelinus namaycush x fontinalis
ARC,Arctic Char,Salvelinus alpinus
BKT,Brook Trout,Salvelinus fontinalis
LAT,Lake Trout,Salvelinus namaycush
SCT,Siscowet,Salvelinus namaycush
WAS,Walleye/Sauger,Sander lucius x canadensis
SAR,Sauger,Sander canadensis
WAE,Walleye,Sander vitreus
SLS,Shovelnose Sturgeon,Scaphirhynchus platorynchus
CRC,Creek Chub,Semotilus atromaculatus
ARG,Arctic Grayling,Thymallus arcticus
CNM,Central Mudminnow,Umbra limi
