lake_id,lattitude,longitude
01000100,46.196386,-93.063747
01001400,46.848253,-93.180035
01001500,46.828491,-93.150448
01001900,46.852243,-93.167723
01002300,46.703591,-93.200718
01002400,46.824431,-93.189809
01003300,46.696934,-93.249019
01003800,46.828437,-93.214509
01004500,46.930509,-93.257686
01004600,46.933009,-93.284999
01005600,46.864056,-93.220694
01005700,46.940339,-93.273439
01005800,46.978068,-93.244572
01005900,46.953588,-93.206072
01006100,46.690297,-93.336719
01006200,46.766814,-93.251346
01006900,46.577946,-93.420868
01007000,46.644242,-93.380644
01007200,46.637928,-93.394843
01007400,46.607848,-93.410323
01008500,46.367954,-93.533157
01008700,46.412256,-93.473414
01008900,46.497305,-93.474999
01009100,46.462984,-93.53207
01009200,46.436188,-93.459859
01009300,46.430998,-93.490794
01009600,46.511076,-93.473734
01009900,46.634848,-93.540955
01010200,46.638033,-93.488799
01010400,46.629549,-93.540386
01010500,46.631004,-93.487555
01010900,46.995992,-93.512447
01011100,46.977034,-93.458964
01011500,46.483765,-93.589988
01011700,46.484718,-93.648238
01012000,46.483641,-93.587794
01012300,46.459948,-93.641063
01012500,46.436994,-93.664475
01012900,46.509175,-93.60422
01013200,46.519435,-93.641978
01013600,46.72814,-93.626423
01013700,46.720219,-93.659102
01014200,46.994034,-93.589872
01014201,46.994034,-93.589872
01014202,46.994034,-93.589872
01014600,46.462412,-93.689924
01014700,46.729914,-93.698044
01014800,46.803498,-93.696201
01014900,46.40611,-93.730797
01015700,46.348748,-93.771213
01015900,46.438336,-93.756721
01016100,46.47822,-93.737929
01017000,46.471331,-93.716026
01017600,46.444065,-93.738736
01017800,46.432638,-93.7154
01017900,46.442827,-93.737878
01018100,46.502853,-93.748585
01018800,46.65279,-93.737619
01020400,46.330385,-93.816786
01020900,46.485744,-93.79798
01020901,46.485744,-93.79798
01020902,46.485744,-93.79798
01020903,46.485744,-93.79798
01021200,46.731416,-93.772883
02000300,45.116483,-93.040449
02000400,45.175078,-93.069204
02000500,45.175495,-93.069649
02000600,45.161138,-93.081588
02000800,45.161991,-93.114572
02001600,45.253727,-93.042223
02002200,45.366664,-93.091912
02002600,45.357117,-93.09693
02003400,45.377278,-93.087911
02004200,45.319368,-93.132151
02004500,45.136831,-93.153518
02005200,45.275174,-93.202602
02005300,45.252753,-93.224085
02007500,45.075672,-93.243196
02007501,45.075672,-93.243196
02007502,45.075672,-93.243196
02007700,45.090058,-93.275165
02008400,45.218745,-93.341745
02008900,45.237351,-93.350641
02009100,45.362893,-93.336325
02013000,45.333587,-93.444627
02013300,45.331203,-93.504558
02058500,45.171336,-93.156537
03000400,46.857609,-95.187942
03000500,46.855659,-95.208406
03000700,46.83804,-95.223676
03000900,46.830268,-95.185014
03001000,46.921936,-95.251692
03001700,47.030715,-95.207149
03002900,47.06065,-95.180425
03003000,47.091756,-95.275351
03004200,47.099047,-95.180897
03004400,47.079058,-95.187236
03008500,47.146537,-95.376261
03008800,47.116091,-95.377291
03009600,47.079242,-95.328467
03009700,47.076953,-95.366628
03010100,46.819414,-95.360943
03010200,46.947264,-95.485808
03010300,47.005736,-95.411959
03010700,46.845721,-95.49138
03010800,46.88352,-95.527632
03012700,46.907372,-95.419201
03013600,47.120184,-95.459297
03015300,46.935506,-95.518646
03015500,47.027609,-95.541092
03015800,47.069043,-95.556586
03015900,47.137985,-95.517507
03016600,46.784596,-95.63214
03017700,46.882452,-95.662906
03018900,46.963945,-94.855859
03019500,46.902174,-95.586113
03019700,46.946206,-95.618178
03020000,46.91106,-95.658301
03020100,46.91744,-95.576037
03020600,47.038516,-95.60776
03020900,47.034957,-95.633364
03021000,47.028406,-95.602217
03021300,47.023862,-95.588017
03021600,47.021657,-95.641551
03023400,47.093498,-95.576461
03024100,46.909398,-95.667469
03024101,46.909398,-95.667469
03024102,46.909398,-95.667469
03024300,47.019486,-95.680632
03025800,46.741205,-95.747962
03026400,46.725076,-95.708234
03026500,46.722864,-95.745171
03027300,46.844044,-95.709277
03028300,46.830789,-95.715546
03028600,46.890731,-95.683791
03028700,46.876255,-95.740637
03029300,46.918515,-95.764308
03030400,47.037611,-95.762499
03031300,46.994672,-95.772826
03032300,47.057511,-95.700547
03032800,47.141847,-95.746993
03033200,47.106989,-95.739378
03033400,47.100148,-95.771229
03033700,47.096921,-95.74681
03035000,46.965194,-95.765777
03035500,46.721937,-95.884167
03035700,46.78731,-95.89233
03035900,46.784221,-95.885925
03037100,46.755017,-95.876339
03038100,46.773642,-95.841643
03038300,46.824612,-95.892887
03038600,46.86959,-95.837064
03038700,46.85704,-95.856208
03038701,46.85704,-95.856208
03038702,46.85704,-95.856208
03043000,47.020693,-95.818758
03047500,46.75082,-95.879728
03048600,46.770367,-95.941693
03050000,46.750277,-95.989672
03050300,46.746112,-95.9691
03050600,46.804777,-95.989793
03052600,46.842314,-96.030542
03057500,46.794855,-96.034058
03057600,46.779083,-96.077818
03057900,46.877376,-96.054379
03058200,46.74052,-96.094104
03058800,46.763733,-96.128337
03060200,46.755908,-96.118756
03063800,46.825157,-96.149769
03064800,46.899561,-96.071616
03065700,46.784874,-96.170567
03065900,46.866187,-96.183238
04001100,47.543587,-94.458276
04001900,47.618188,-94.510902
04002200,47.605359,-94.508148
04002400,47.663148,-94.53255
04002800,47.94652,-94.445838
04003000,47.381076,-94.590158
04003200,47.547567,-94.512176
04003300,47.639205,-94.548533
04003400,47.64128,-94.5018
04003800,47.481037,-94.647655
04003900,47.467957,-94.612941
04004900,47.508653,-94.592874
04005300,47.582604,-94.575167
04006300,47.588518,-94.606013
04006900,47.729713,-94.587233
04007900,47.410014,-94.698457
04011100,47.589458,-94.750128
04012000,47.662416,-94.755981
04012200,47.733588,-94.721928
04012400,47.704475,-94.791482
04013000,47.464387,-94.864069
04013001,47.464387,-94.864069
04013002,47.464387,-94.864069
04013200,47.525402,-94.789316
04013201,47.525402,-94.789316
04013202,47.525402,-94.789316
04013400,47.627132,-94.782546
04013500,47.591157,-94.80521
04014000,47.46541,-94.879463
04015200,47.577886,-94.874215
04015900,47.613069,-94.882746
04016600,47.679896,-94.886878
04019600,47.619427,-94.93864
04019800,47.679162,-94.910876
04021700,47.496299,-95.007543
04022900,47.659403,-95.045145
04023000,47.654013,-95.015053
04026500,47.780937,-95.016889
04029800,47.616468,-95.107953
04030000,47.607313,-95.099847
04030700,47.713981,-95.087098
04032900,47.796612,-95.101448
04033100,47.78701,-95.086344
04034200,47.471842,-95.187831
04034300,47.744126,-95.207419
05000700,45.697139,-94.100333
05001300,45.74584,-94.165296
06000100,45.184134,-96.145573
06000200,45.345296,-96.134434
06002900,45.326703,-96.362226
06012100,45.49847,-96.473284
06013800,45.55428,-96.445299
06015200,45.414671,-96.676346
06017000,45.563699,-96.576063
07001900,43.989815,-93.826455
07002400,43.939845,-93.801544
07004300,44.110211,-93.786815
07004400,44.195103,-93.818471
07004500,44.194127,-93.848244
07004700,44.229755,-93.868547
07005300,44.21146,-93.816463
07005400,44.21055,-93.828597
07005800,43.991669,-93.895244
07006000,44.206587,-93.889774
07006001,44.206587,-93.889774
07006002,44.206587,-93.889774
07007700,44.236163,-93.907079
07007900,43.848149,-94.050053
07009000,43.921423,-94.143712
07009600,44.09488,-94.183435
07009700,44.078241,-94.145448
07009800,44.108149,-94.212002
08001100,44.253965,-94.518117
08002600,44.152083,-94.636999
08004500,44.308714,-94.727737
08005400,44.200963,-94.844765
08009600,44.250846,-94.882702
08012900,44.120555,-95.090305
09000300,46.446556,-92.456
09000800,46.631521,-92.456989
09001000,46.593071,-92.464764
09001600,46.533893,-92.547533
09002600,46.631087,-92.618183
09002900,46.614188,-92.644624
09003200,46.709699,-92.640535
09003400,46.500527,-92.680655
09003500,46.487564,-92.67217
09003600,46.680326,-92.677758
09003800,46.481868,-92.704529
09004100,46.45202,-92.756651
09004400,46.435003,-92.732574
09004900,46.635431,-92.789733
09005300,46.731397,-92.703809
09005700,46.648226,-92.903473
09006000,46.664793,-92.87002
09006001,46.664793,-92.87002
09006002,46.664793,-92.87002
09006700,46.656065,-93.007696
09006800,46.661488,-93.044252
09016700,46.668114,-92.307804
10000200,44.834358,-93.512338
10000600,44.866968,-93.523464
10000900,44.878815,-93.602089
10001100,44.875568,-93.620769
10001200,44.868918,-93.55669
10001300,44.854241,-93.543258
10001500,44.883495,-93.638439
10001900,44.83616,-93.647052
10004100,44.879999,-93.66292
10004200,44.878805,-93.735907
10004400,44.871225,-93.696193
10004401,44.871225,-93.696193
10004402,44.871225,-93.696193
10004500,44.865292,-93.656506
10004800,44.846313,-93.677113
10004801,44.846313,-93.677113
10004802,44.846313,-93.677113
10005200,44.840669,-93.748254
10005300,44.831998,-93.703101
10005800,44.718454,-93.768843
10005900,44.871425,-93.759209
10006300,44.689056,-93.885135
10007800,44.798341,-93.86942
10008600,44.830382,-93.878531
10008800,44.819083,-93.873438
10008900,44.8902,-93.847682
10009500,44.933773,-93.812572
10010800,44.787924,-93.962013
10012100,44.804655,-93.9389
11000900,46.959396,-93.88736
11000901,46.959396,-93.88736
11000902,46.959396,-93.88736
11002600,47.153518,-93.85461
11002900,47.184718,-93.874225
11003700,46.829935,-93.9166
11004300,46.808086,-93.952861
11004301,46.808086,-93.952861
11004302,46.808086,-93.952861
11004500,46.852661,-93.982395
11004600,46.849936,-93.987941
11005300,46.819714,-93.939107
11005900,46.851636,-93.976874
11006200,46.945278,-93.970193
11006900,46.90275,-93.953175
11007300,46.991956,-93.954946
11007700,47.067547,-93.957362
11008600,47.122681,-93.943776
11009200,47.081901,-93.981978
11009400,47.147592,-93.955804
11009600,47.213322,-93.961144
11010000,47.260611,-93.94572
11010100,46.86695,-94.019124
11010200,46.926643,-94.057744
11010400,46.976913,-94.018633
11010500,46.977537,-94.04647
11011600,46.917859,-94.074338
11011800,46.910427,-94.140851
11012000,46.958265,-94.126778
11012001,46.958265,-94.126778
11012002,46.958265,-94.126778
11012100,47.045371,-94.075927
11012900,46.987702,-94.053325
11014200,47.031412,-94.16908
11014201,47.031412,-94.16908
11014202,47.031412,-94.16908
11014203,47.031412,-94.16908
11014204,47.031412,-94.16908
11014300,47.092745,-94.160181
11014600,47.309353,-94.124562
11014700,47.436533,-94.055766
11016700,46.924764,-94.200309
11017100,46.897395,-94.251643
11017101,46.897395,-94.251643
11017102,46.897395,-94.251643
11017400,46.98901,-94.219102
11017700,47.043257,-94.262563
11019000,47.069415,-94.222898
11019900,46.868251,-94.290484
11020000,46.911162,-94.276659
11020100,46.966342,-94.279497
11020101,46.966342,-94.279497
11020102,46.966342,-94.279497
11020200,47.00915,-94.28486
11020300,47.134766,-94.621619
11020301,47.134766,-94.621619
11020302,47.134766,-94.621619
11020303,47.134766,-94.621619
11020304,47.134766,-94.621619
11020400,47.348025,-94.312315
11021400,46.374068,-94.370741
11022600,46.57251,-94.35892
11023000,46.795679,-94.3974
11023400,46.864225,-94.337834
11024200,46.846629,-94.322271
11025000,46.842817,-94.331929
11025700,46.89356,-94.323313
11025800,46.892367,-94.344999
11027300,46.912963,-94.335793
11027400,46.913703,-94.28901
11027500,46.911482,-94.337041
11028300,46.959422,-94.353585
11029200,47.020662,-94.377469
11029600,46.993892,-94.357019
11030400,46.374608,-94.372256
11030401,46.374608,-94.372256
11030402,46.374608,-94.372256
11030500,46.509981,-94.344167
11030700,46.730421,-94.408783
11030800,46.849288,-94.417813
11030801,46.849288,-94.417813
11030802,46.849288,-94.417813
11031100,46.943476,-94.404032
11032000,46.364776,-94.48444
11032400,46.431815,-94.477632
11032600,46.437795,-94.423618
11033000,46.406116,-94.42999
11035000,46.805038,-94.492193
11035100,46.879262,-94.456742
11035300,46.869802,-94.519709
11035500,46.862433,-94.460964
11035800,46.844214,-94.470049
11036100,46.83789,-94.45301
11036700,46.821391,-94.471854
11037100,46.958406,-94.492249
11038300,46.92663,-94.489185
11038700,46.972949,-94.427462
11039600,46.998328,-94.456008
11040000,47.061593,-94.448819
11041100,46.820899,-94.520779
11041200,46.931037,-94.523071
11041300,46.952123,-94.616538
11041500,47.329995,-94.58799
11043700,46.653549,-94.626087
11043900,46.647458,-94.63051
11044500,46.739404,-94.640873
11044600,46.737313,-94.64353
11045400,46.841602,-94.570013
11047500,47.017727,-94.590789
11048000,47.069594,-94.606269
11048400,47.323007,-94.554695
11048800,47.289016,-94.559909
11049300,47.256188,-94.554942
11050000,46.672398,-94.666105
11050200,46.940061,-94.651759
11050400,47.271767,-94.62908
11050500,47.400545,-94.678806
11062400,46.402056,-94.455927
11099600,47.4055,-94.321121
13001300,45.356603,-92.840381
13001900,45.328584,-92.819466
13002700,45.374725,-92.836486
13002800,45.377951,-92.869422
13003200,45.390076,-92.824707
13003201,45.390076,-92.824707
13003202,45.390076,-92.824707
13003300,45.416947,-92.78801
13003700,45.480223,-92.875417
13004100,45.361784,-92.891226
13004101,45.361784,-92.891226
13004102,45.361784,-92.891226
13005300,45.327122,-92.954539
13005900,45.375578,-92.968676
13005901,45.375578,-92.968676
13005902,45.375578,-92.968676
13005903,45.375578,-92.968676
13006800,45.576602,-93.022395
13006900,45.694772,-93.088931
13006901,45.694772,-93.088931
13006902,45.694772,-93.088931
13007300,45.587658,-93.06336
13007900,45.59736,-93.078995
13008000,45.591591,-93.066073
13008300,45.640407,-93.073128
13008301,45.640407,-93.073128
13008302,45.640407,-93.073128
14000400,47.00626,-96.191279
14003000,46.77371,-96.220957
14004900,46.865593,-96.256682
14010000,46.83247,-96.326377
15000100,47.297145,-95.176245
15000500,47.235429,-95.267254
15001000,47.196609,-95.221467
15001600,47.233782,-95.19835
15003500,47.740361,-95.27544
15003800,47.708893,-95.291125
15004000,47.761621,-95.241642
15005000,47.780544,-95.236765
15005001,47.780544,-95.236765
15005002,47.780544,-95.236765
15005700,47.282841,-95.310715
15005900,47.381045,-95.296864
15006000,47.49085,-95.301926
15006800,47.199831,-95.415375
15007500,47.296311,-95.386923
15007900,47.370508,-95.31812
15008100,47.527946,-95.401263
15008300,47.66653,-95.396011
15008400,47.620763,-95.310985
15008600,47.73725,-95.325047
15009000,47.681624,-95.393995
15010300,47.275601,-95.426889
15010400,47.586956,-95.431651
15010800,47.152951,-95.455052
15011600,47.201107,-95.489424
15011700,47.191548,-95.532908
15012400,47.24163,-95.460486
15012700,47.269052,-95.497343
15012800,47.257851,-95.442968
15013100,47.368187,-95.529414
15013102,47.368187,-95.529414
15013700,47.533818,-95.467823
15013900,47.517626,-95.453862
15014000,47.520293,-95.479585
15014400,47.644563,-95.472576
15014900,47.698975,-95.508686
15026000,47.164587,-95.486725
15029300,47.671312,-95.498887
15032200,47.184632,-95.357542
16000100,47.165441,-91.424757
16001500,47.895794,-90.002744
16001900,47.934049,-90.068754
16002300,47.981487,-90.108129
16002600,48.054261,-90.056943
16002700,48.053357,-90.056764
16002900,47.991373,-90.095777
16003200,47.9877,-90.00868
16003300,47.985355,-90.083171
16004400,47.868621,-90.217134
16004500,47.863948,-90.228528
16004600,47.867179,-90.218178
16004900,47.87403,-90.183165
16005000,47.866792,-90.140258
16007100,48.02328,-90.232667
16007700,47.98716,-90.184257
16008000,48.005377,-90.243506
16009600,47.860286,-90.285911
16009800,47.849374,-90.350292
16013500,48.001014,-90.291277
16013900,48.075188,-90.368522
16014300,47.826843,-90.429365
16014500,47.902909,-90.3979
16014600,48.035605,-90.397871
16014700,48.051571,-90.406084
16015600,47.880042,-90.445494
16015900,47.859221,-90.419393
16017400,47.956536,-90.447551
16017500,47.94586,-90.440831
16018200,47.913135,-90.502275
16018600,47.902809,-90.39854
16019400,47.895212,-90.406698
16019600,48.056142,-90.411059
16019800,48.055376,-90.468099
16020400,48.044627,-90.419629
16022700,48.061852,-90.443809
16022800,48.062619,-90.444231
16022802,48.062619,-90.444231
16023500,47.86379,-90.526879
16023900,48.055507,-90.544262
16024700,48.068056,-90.543793
16024800,47.718117,-90.632723
16025200,47.761062,-90.590469
16025300,47.721882,-90.617562
16032800,48.06766,-90.617429
16033700,48.075633,-90.569389
16034600,47.862158,-90.631808
16034800,47.926131,-90.644979
16035500,48.069324,-90.643574
16035600,48.084742,-90.755957
16035800,47.695836,-90.737589
16036000,47.707419,-90.66605
16036500,47.77433,-90.751821
16036600,47.777663,-90.692728
16036900,47.740142,-90.752693
16037300,47.736267,-90.735788
16038200,47.84452,-90.734184
16038300,47.842866,-90.752296
16038400,47.819916,-90.710237
16040500,47.902349,-90.656904
16040600,47.904527,-90.659891
16044800,48.073803,-90.73734
16045400,47.832547,-90.771764
16048600,47.84519,-90.816881
16048800,47.837134,-90.812843
16048900,47.835876,-90.789256
16049600,47.863456,-90.887633
16058200,48.120817,-90.840107
16060600,48.074488,-90.836511
16060700,48.077223,-90.823316
16062900,48.147112,-90.86972
16063200,48.160793,-90.894756
16063201,48.160793,-90.894756
16063300,48.164736,-90.883088
16063301,48.164736,-90.883088
16063302,48.164736,-90.883088
16063303,48.164736,-90.883088
16063305,48.164736,-90.883088
16063306,48.164736,-90.883088
16063307,48.164736,-90.883088
16063308,48.164736,-90.883088
16063900,47.702193,-90.962418
16064500,47.713018,-90.953429
16064600,47.708286,-90.993919
16090100,47.987066,-89.935382
17000300,43.945591,-94.958495
17000700,43.923559,-95.043833
17000800,43.903045,-95.079348
17001100,43.871009,-95.038971
17001800,43.975782,-95.078987
17002000,43.953609,-95.00467
17002200,43.876125,-95.102554
17002300,43.992134,-95.102977
17002400,43.846324,-95.193685
17003300,44.004001,-95.260609
17003700,44.11173,-95.340315
17004100,43.849428,-95.410229
17004400,43.916407,-95.435863
17005400,44.07257,-95.379325
17005600,44.059744,-95.380713
17005601,44.059744,-95.380713
17005602,44.059744,-95.380713
17006000,43.864484,-95.456688
17007300,43.856742,-95.065173
18000900,46.199736,-93.899251
18001600,46.174346,-93.896491
18001800,46.225328,-93.862412
18002000,46.309665,-93.835047
18003400,46.405082,-93.845883
18003800,46.413126,-93.911259
18004100,46.360628,-93.917089
18004101,46.360628,-93.917089
18004102,46.360628,-93.917089
18004800,46.350038,-93.833862
18005300,46.338765,-93.88989
18005900,46.490766,-93.892314
18008800,46.160499,-93.937398
18009000,46.47866,-93.955763
18009300,46.530644,-93.928491
18009301,46.530644,-93.928491
18009302,46.530644,-93.928491
18009600,46.298136,-94.056462
18010400,46.382155,-93.973778
18010800,46.365572,-93.961029
18011100,46.411803,-93.963332
18011200,46.414905,-93.986301
18011700,46.46856,-94.010795
18011800,46.468937,-94.033321
18012000,46.453305,-94.031681
18013100,46.520579,-93.957264
18013600,46.2753,-94.103519
18013900,46.466617,-94.051578
18014000,46.514066,-94.064109
18014500,46.37083,-94.165972
18015500,46.231665,-94.341427
18016100,46.164306,-94.327869
18016500,46.673757,-93.820945
18016700,46.654127,-93.821422
18016701,46.654127,-93.821422
18016702,46.654127,-93.821422
18016900,46.643502,-93.80289
18017000,46.644075,-93.877091
18017500,46.721573,-93.854809
18017800,46.750567,-93.889223
18018100,46.597295,-93.892718
18018300,46.685459,-93.896623
18018400,46.665808,-93.906073
18018600,46.614399,-93.949512
18019500,46.678012,-94.000525
18020300,46.716666,-93.953154
18020400,46.722314,-93.970335
18020800,46.793836,-93.995438
18021200,46.760109,-93.954983
18021800,46.721755,-93.972022
18022000,46.804019,-93.940224
18022500,46.62963,-93.999901
18022600,46.690384,-94.04081
18022700,46.68661,-94.029867
18022701,46.68661,-94.029867
18022702,46.68661,-94.029867
18023900,46.511261,-94.13185
18024000,46.485994,-94.107494
18024200,46.562386,-94.069922
18024300,46.536983,-94.10716
18025100,46.57128,-94.105672
18025101,46.57128,-94.105672
18025102,46.57128,-94.105672
18025600,46.555553,-94.098832
18026100,46.632244,-94.119862
18027800,46.669389,-94.138702
18028700,46.633198,-94.041051
18029300,46.766923,-94.077259
18029400,46.781092,-94.033248
18029600,46.760289,-94.037161
18029601,46.760289,-94.037161
18029602,46.760289,-94.037161
18029603,46.760289,-94.037161
18029800,46.745857,-94.083
18030500,46.501047,-94.178761
18030600,46.489274,-94.132917
18030800,46.545298,-94.208298
18030801,46.545298,-94.208298
18030802,46.545298,-94.208298
18031000,46.682051,-94.28553
18031200,46.671333,-94.112399
18031201,46.671333,-94.112399
18031202,46.671333,-94.112399
18031203,46.671333,-94.112399
18031400,46.648811,-94.153946
18031500,46.723408,-94.130479
18032000,46.390892,-94.193408
18032001,46.390892,-94.193408
18032002,46.390892,-94.193408
18032003,46.390892,-94.193408
18033800,46.482928,-94.235912
18034200,46.546984,-94.152356
18035100,46.551856,-94.208195
18035200,46.629584,-94.165175
18035600,46.67029,-94.23142
18036100,46.649486,-94.204764
18036200,46.65335,-94.227045
18036300,46.64621,-94.207727
18036400,46.652999,-94.22742
18037100,46.332092,-94.273389
18037200,46.466661,-94.177118
18037300,46.445522,-94.285595
18037400,46.502346,-94.258767
18037500,46.483929,-94.28096
18037700,46.559104,-94.248036
18037800,46.660272,-94.286112
18037900,46.359472,-94.287329
18038600,46.381044,-94.286107
18038700,46.361019,-94.301185
18038701,46.361019,-94.301185
18038702,46.361019,-94.301185
18038703,46.361019,-94.301185
18039600,46.540318,-94.309127
18039900,46.518096,-94.29053
18040300,46.535921,-94.282675
18040400,46.609327,-94.321176
18040700,46.557421,-94.306697
18040900,46.549069,-94.308215
18041200,46.642622,-94.310834
18041600,46.807543,-94.33103
18043400,46.500139,-93.944751
18043500,46.498366,-93.93973
18043700,46.487493,-93.973843
18043900,46.482954,-93.991188
18044100,46.483493,-93.992943
18052300,46.451927,-94.048737
18052400,46.462766,-94.039965
18066700,46.493808,-94.047145
18074000,46.471704,-94.031466
19000500,44.845435,-93.007759
19000501,44.845435,-93.007759
19000502,44.845435,-93.007759
19000503,44.845435,-93.007759
19000504,44.845435,-93.007759
19000505,44.845435,-93.007759
19000600,44.515772,-92.988214
19002600,44.666625,-93.284844
19002601,44.666625,-93.284844
19002602,44.666625,-93.284844
19002603,44.666625,-93.284844
19002700,44.7267,-93.277548
19003000,44.746626,-92.859321
19003100,44.695992,-93.30822
19005700,44.822223,-93.161199
19005900,44.818663,-93.182217
19007100,44.777368,-93.165972
19008000,44.873237,-93.140516
20001300,44.083891,-92.655827
21001600,45.859437,-95.239168
21003400,46.070734,-95.221746
21004100,45.819928,-95.336733
21004900,45.856308,-95.343891
21005200,45.914863,-95.32783
21005300,45.892681,-95.379546
21005400,45.860799,-95.344202
21005600,45.941352,-95.337396
21005700,45.962255,-95.353469
21007300,46.078369,-95.370334
21007600,46.067387,-95.312303
21007900,45.789266,-95.368136
21008100,45.876229,-95.405791
21008300,46.056861,-95.373274
21008500,45.813153,-95.419302
21009000,45.770061,-95.408369
21009200,45.808351,-95.496363
21009400,45.931364,-95.425881
21010200,45.909824,-95.446991
21010300,45.901984,-95.408831
21010600,45.864279,-95.451392
21010601,45.864279,-95.451392
