habit_date,meditate,exercise,morning,day,evening,drinks,candy,pen,day_of_week,day_label,week_number,month,weekend,total_score,morning_chart,day_chart,evening_chart,total_score_chart,total_score_chart_r3
2024-10-24,0,0,,,,0.0,0.0,0.0,3,Thursday,43,10,0,,,,,,
2024-10-23,0,0,2.0,2.0,2.0,0.0,0.0,0.0,2,Wednesday,43,10,0,6.0,2.0,2.0,2.0,6.0,6.0
2024-10-22,0,1,3.0,2.0,3.0,0.0,0.0,0.0,1,Tuesday,43,10,0,8.0,3.0,2.0,3.0,8.0,7.0
2024-10-21,1,1,4.0,3.0,3.0,0.0,0.0,0.0,0,Monday,43,10,0,10.0,4.0,3.0,3.0,10.0,8.0
2024-10-20,0,0,2.0,3.0,3.0,2.5,0.5,0.0,6,Sunday,42,10,0,8.0,2.0,3.0,3.0,8.0,8.666666666666666
2024-10-19,0,0,3.0,3.0,3.0,1.5,0.0,2.5,5,Saturday,42,10,0,9.0,3.0,3.0,3.0,9.0,9.0
2024-10-18,1,0,2.0,2.0,3.0,3.5,1.0,0.0,4,Friday,42,10,0,7.0,2.0,2.0,3.0,7.0,8.0
2024-10-17,0,0,2.0,2.0,3.0,3.0,1.0,0.0,3,Thursday,42,10,0,7.0,2.0,2.0,3.0,7.0,7.666666666666667
2024-10-16,1,0,3.0,3.0,3.0,0.0,0.5,0.5,2,Wednesday,42,10,0,9.0,3.0,3.0,3.0,9.0,7.666666666666667
2024-10-15,0,1,4.0,3.0,3.0,2.0,0.0,1.0,1,Tuesday,42,10,0,10.0,4.0,3.0,3.0,10.0,8.666666666666666
2024-10-14,1,1,4.0,4.0,3.0,0.0,0.0,0.0,0,Monday,42,10,0,11.0,4.0,4.0,3.0,11.0,10.0
2024-10-13,0,0,3.0,3.0,3.0,1.0,0.5,0.0,6,Sunday,41,10,0,9.0,3.0,3.0,3.0,9.0,10.0
2024-10-12,0,0,3.0,4.0,4.0,4.0,1.0,0.0,5,Saturday,41,10,0,11.0,3.0,4.0,4.0,11.0,10.333333333333334
2024-10-11,0,1,3.0,3.0,3.0,3.0,1.0,0.0,4,Friday,41,10,0,9.0,3.0,3.0,3.0,9.0,9.666666666666666
2024-10-10,0,1,3.0,2.0,2.0,2.0,0.0,1.0,3,Thursday,41,10,0,7.0,3.0,2.0,2.0,7.0,9.0
2024-10-09,0,0,4.0,2.0,3.0,0.0,0.0,0.0,2,Wednesday,41,10,0,9.0,4.0,2.0,3.0,9.0,8.333333333333334
2024-10-08,1,1,3.0,3.0,,0.0,0.0,0.0,1,Tuesday,41,10,0,,3.0,3.0,3.0,9.0,8.333333333333334
2024-10-07,1,1,4.0,3.0,3.0,0.0,0.0,0.0,0,Monday,41,10,0,10.0,4.0,3.0,3.0,10.0,9.333333333333334
2024-10-06,0,0,3.0,3.0,3.0,1.0,0.5,0.0,6,Sunday,40,10,0,9.0,3.0,3.0,3.0,9.0,9.333333333333334
2024-10-05,0,0,2.0,3.0,3.0,4.0,0.0,0.0,5,Saturday,40,10,0,8.0,2.0,3.0,3.0,8.0,9.0
2024-10-04,0,0,2.0,3.0,3.0,3.5,0.0,0.5,4,Friday,40,10,0,8.0,2.0,3.0,3.0,8.0,8.333333333333334
2024-10-03,0,0,3.0,3.0,2.0,0.0,0.0,0.0,3,Thursday,40,10,0,8.0,3.0,3.0,2.0,8.0,8.0
2024-10-02,0,0,,,,0.0,0.0,0.0,2,Wednesday,40,10,0,,3.0,3.0,2.25,8.25,8.083333333333334
2024-10-01,0,0,,,,0.0,0.0,0.0,1,Tuesday,40,10,0,,3.0,3.0,2.5,8.5,8.25
2024-09-30,0,0,,,,0.0,0.0,0.0,0,Monday,40,9,0,,3.0,3.0,2.75,8.75,8.5
2024-09-29,0,0,3.0,3.0,3.0,1.0,0.0,0.0,6,Sunday,39,9,0,9.0,3.0,3.0,3.0,9.0,8.75
2024-09-28,0,0,2.0,3.0,4.0,1.2,0.0,0.0,5,Saturday,39,9,0,9.0,2.0,3.0,4.0,9.0,8.916666666666666
2024-09-27,0,1,2.0,2.0,3.0,5.0,0.0,0.5,4,Friday,39,9,0,7.0,2.0,2.0,3.0,7.0,8.333333333333334
2024-09-26,0,0,3.0,3.0,3.0,0.0,0.0,0.0,3,Thursday,39,9,0,9.0,3.0,3.0,3.0,9.0,8.333333333333334
2024-09-25,1,0,3.0,3.0,2.0,2.0,0.0,0.0,2,Wednesday,39,9,0,8.0,3.0,3.0,2.0,8.0,8.0
2024-09-24,0,1,2.0,2.0,2.0,0.0,0.0,0.0,1,Tuesday,39,9,0,6.0,2.0,2.0,2.0,6.0,7.666666666666667
2024-09-23,1,1,3.0,2.0,3.0,0.0,0.0,0.0,0,Monday,39,9,0,8.0,3.0,2.0,3.0,8.0,7.333333333333333
2024-09-22,0,0,3.0,4.0,3.0,0.0,0.0,0.0,6,Sunday,38,9,0,10.0,3.0,4.0,3.0,10.0,8.0
2024-09-21,1,1,3.0,3.0,4.0,0.0,0.0,0.0,5,Saturday,38,9,0,10.0,3.0,3.0,4.0,10.0,9.333333333333334
2024-09-20,0,0,3.0,3.0,3.0,0.0,0.0,0.0,4,Friday,38,9,0,9.0,3.0,3.0,3.0,9.0,9.666666666666666
2024-09-19,1,0,3.0,3.0,3.0,0.0,0.0,0.0,3,Thursday,38,9,0,9.0,3.0,3.0,3.0,9.0,9.333333333333334
2024-09-18,1,0,3.0,2.0,3.0,0.0,0.0,0.0,2,Wednesday,38,9,0,8.0,3.0,2.0,3.0,8.0,8.666666666666666
2024-09-17,1,0,3.0,3.0,4.0,0.0,0.0,0.0,1,Tuesday,38,9,0,10.0,3.0,3.0,4.0,10.0,9.0
2024-09-16,1,1,4.0,4.0,3.0,0.0,0.0,0.0,0,Monday,38,9,0,11.0,4.0,4.0,3.0,11.0,9.666666666666666
2024-09-15,0,1,4.0,4.0,,0.0,0.0,0.0,6,Sunday,37,9,0,,4.0,4.0,3.0,11.0,10.666666666666666
2024-09-14,0,0,4.0,4.0,3.0,0.0,0.0,0.0,5,Saturday,37,9,0,11.0,4.0,4.0,3.0,11.0,11.0
2024-09-13,0,1,4.0,4.0,4.0,0.0,0.0,0.0,4,Friday,37,9,0,12.0,4.0,4.0,4.0,12.0,11.333333333333334
2024-09-12,1,0,4.0,3.0,4.0,0.0,0.0,0.0,3,Thursday,37,9,0,11.0,4.0,3.0,4.0,11.0,11.333333333333334
2024-09-11,1,1,4.0,,,0.0,0.0,0.0,2,Wednesday,37,9,0,,4.0,3.5,4.0,11.5,11.5
2024-09-10,1,1,4.0,4.0,4.0,0.0,0.0,0.0,1,Tuesday,37,9,0,12.0,4.0,4.0,4.0,12.0,11.5
2024-09-09,1,0,2.0,2.0,3.0,0.0,0.0,0.0,0,Monday,37,9,0,7.0,2.0,2.0,3.0,7.0,10.166666666666666
2024-09-08,0,0,3.0,3.0,3.0,0.0,0.0,0.0,6,Sunday,36,9,0,9.0,3.0,3.0,3.0,9.0,9.333333333333334
2024-09-07,0,0,3.0,3.0,3.0,0.0,0.0,0.0,5,Saturday,36,9,0,9.0,3.0,3.0,3.0,9.0,8.333333333333334
2024-09-06,0,0,3.0,3.0,3.0,0.0,0.0,0.0,4,Friday,36,9,0,9.0,3.0,3.0,3.0,9.0,9.0
2024-09-05,1,1,4.0,3.0,2.0,0.0,0.0,0.0,3,Thursday,36,9,0,9.0,4.0,3.0,2.0,9.0,9.0
2024-09-04,0,0,,,,0.0,0.0,0.0,2,Wednesday,36,9,0,,4.0,3.0,3.0,10.0,9.333333333333334
2024-09-03,1,0,4.0,3.0,4.0,0.0,0.0,0.0,1,Tuesday,36,9,0,11.0,4.0,3.0,4.0,11.0,10.0
2024-09-02,0,0,,,,0.0,0.0,0.0,0,Monday,36,9,0,,3.8333333333333335,2.8333333333333335,3.6666666666666665,10.333333333333334,10.444444444444445
2024-09-01,0,0,,,,0.0,0.0,0.0,6,Sunday,35,9,0,,3.6666666666666665,2.6666666666666665,3.3333333333333335,9.666666666666666,10.333333333333334
2024-08-31,0,0,,,,0.0,0.0,0.0,5,Saturday,35,8,0,,3.5,2.5,3.0,9.0,9.666666666666666
2024-08-30,0,0,,,,0.0,0.0,0.0,4,Friday,35,8,0,,3.3333333333333335,2.3333333333333335,2.666666666666667,8.333333333333334,9.0
2024-08-29,0,0,,,,0.0,0.0,0.0,3,Thursday,35,8,0,,3.166666666666667,2.166666666666667,2.3333333333333335,7.666666666666668,8.333333333333334
2024-08-28,1,0,3.0,2.0,2.0,0.0,0.0,0.0,2,Wednesday,35,8,0,7.0,3.0,2.0,2.0,7.0,7.666666666666667
2024-08-27,1,0,3.0,2.0,2.0,0.0,0.0,0.0,1,Tuesday,35,8,0,7.0,3.0,2.0,2.0,7.0,7.222222222222222
2024-08-26,1,1,3.0,2.0,2.0,0.0,0.0,0.0,0,Monday,35,8,0,7.0,3.0,2.0,2.0,7.0,7.0
2024-08-25,0,0,4.0,5.0,3.0,0.0,0.0,0.0,6,Sunday,34,8,0,12.0,4.0,5.0,3.0,12.0,8.666666666666666
2024-08-24,0,0,5.0,4.0,4.0,0.0,0.0,0.0,5,Saturday,34,8,0,13.0,5.0,4.0,4.0,13.0,10.666666666666666
2024-08-23,1,1,4.0,4.0,4.0,0.0,0.0,0.0,4,Friday,34,8,0,12.0,4.0,4.0,4.0,12.0,12.333333333333334
2024-08-22,1,1,4.0,4.0,4.0,0.0,0.0,0.0,3,Thursday,34,8,0,12.0,4.0,4.0,4.0,12.0,12.333333333333334
2024-08-21,0,0,,,,0.0,0.0,0.0,2,Wednesday,34,8,0,,3.5,3.5,4.0,11.0,11.666666666666666
2024-08-20,0,0,3.0,3.0,,0.0,0.0,0.0,1,Tuesday,34,8,0,,3.0,3.0,4.0,10.0,11.0
